BENCHMARKING started: device = gpu, blocksize = 1024, raiseSizes = { 1 } trainIterations = 1000, maxIterations = 100000, playIterations = 30000
iterations, bucketCount, fileSize, initTime, trainTime, W, L, D, WinPercentageNoDraw, NORMALIZED PAYOFF, REMATCH W, REMATCH L, REMATCH D, REMATCH WinPercentageNoDraw, REMATCH NORMALIZED PAYOFF
72000,2484,4451328,0,2193,0.353,0.624167,0.0228333,0.361248, 0.2994,0.6066,0.360367,0.0330333,0.627323, -0.327
73000,2488,4458496,0,2191,0.354133,0.622133,0.0237333,0.362742, 0.295767,0.608633,0.356967,0.0344,0.630316, -0.3021
74000,2493,4467456,0,2177,0.357533,0.621,0.0214667,0.365377, 0.306233,0.6099,0.358033,0.0320667,0.630105, -0.318367
75000,2495,4471040,0,2178,0.350067,0.6286,0.0213333,0.357698, 0.252467,0.610233,0.3571,0.0326667,0.630841, -0.305333
76000,2499,4478208,0,2190,0.362533,0.615967,0.0215,0.370499, 0.3281,0.605733,0.363067,0.0312,0.625241, -0.352233
77000,2504,4487168,0,2167,0.362,0.617567,0.0204333,0.369551, 0.340633,0.609067,0.3609,0.0300333,0.627925, -0.333067
78000,2505,4488960,0,2204,0.3619,0.615567,0.0225333,0.370243, 0.327767,0.608967,0.356967,0.0340667,0.630444, -0.297433
79000,2508,4494336,0,2193,0.357967,0.620667,0.0213667,0.365782, 0.286967,0.609133,0.358533,0.0323333,0.629487, -0.312867
80000,2511,4499712,0,2171,0.355033,0.6223,0.0226667,0.363267, 0.3154,0.6125,0.3543,0.0332,0.633533, -0.284667
81000,2518,4512256,0,2155,0.358633,0.618733,0.0226333,0.366938, 0.3179,0.605533,0.361767,0.0327,0.626004, -0.333833
82000,2523,4521216,0,2164,0.358733,0.619833,0.0214333,0.366591, 0.3245,0.6055,0.361933,0.0325667,0.625883, -0.342267
83000,2527,4528384,0,2153,0.3561,0.6227,0.0212,0.363813, 0.299567,0.6146,0.353633,0.0317667,0.634764, -0.285033
84000,2528,4530176,0,2208,0.363867,0.6151,0.0210333,0.371684, 0.348333,0.606333,0.361767,0.0319,0.626313, -0.331633
85000,2531,4535552,0,2241,0.353633,0.625,0.0213667,0.361354, 0.264967,0.610167,0.356267,0.0335667,0.631359, -0.3055
86000,2535,4542720,0,2162,0.353433,0.624233,0.0223333,0.361507, 0.301067,0.6084,0.357967,0.0336333,0.629575, -0.316467
87000,2539,4549888,0,2170,0.360233,0.617433,0.0223333,0.368462, 0.3254,0.607333,0.3583,0.0343667,0.628948, -0.3369
88000,2541,4553472,0,2185,0.353733,0.623733,0.0225333,0.361888, 0.2883,0.609467,0.356333,0.0342,0.631049, -0.300367
89000,2546,4562432,0,2181,0.3627,0.614033,0.0232667,0.37134, 0.350767,0.605533,0.3607,0.0337667,0.626695, -0.331167
90000,2550,4569600,0,2172,0.358567,0.619067,0.0223667,0.36677, 0.300433,0.606,0.360467,0.0335333,0.627026, -0.3175
91000,2553,4574976,0,1787,0.355667,0.6229,0.0214333,0.363457, 0.2889,0.613267,0.3549,0.0318333,0.633431, -0.295667
92000,2554,4576768,0,1636,0.355333,0.6207,0.0239667,0.364059, 0.2994,0.607867,0.357633,0.0345,0.629587, -0.328
93000,2557,4582144,0,1659,0.3631,0.616867,0.0200333,0.370523, 0.319067,0.6093,0.359933,0.0307667,0.628641, -0.3351
94000,2563,4592896,0,1660,0.3606,0.617833,0.0215667,0.368548, 0.322233,0.605567,0.362133,0.0323,0.625779, -0.333367
95000,2569,4603648,0,1667,0.360533,0.617967,0.0215,0.368455, 0.3336,0.609167,0.3598,0.0310333,0.628677, -0.312367
96000,2571,4607232,0,1645,0.3605,0.617967,0.0215333,0.368434, 0.322233,0.611433,0.356067,0.0325,0.631972, -0.291467
97000,2572,4609024,0,1638,0.363067,0.614667,0.0222667,0.371335, 0.338633,0.607467,0.358933,0.0336,0.628587, -0.309
98000,2576,4616192,0,1973,0.361533,0.617167,0.0213,0.369402, 0.3287,0.6083,0.359133,0.0325667,0.628777, -0.321733
99000,2576,4616192,0,1719,0.359967,0.6174,0.0226333,0.368303, 0.337433,0.606933,0.359667,0.0334,0.627905, -0.321133
